Location,Cost,Hunger,Tortilla,Temp,Meat,Fillings,Uniformity,Salsa,Synergy,Wrap,overall
California Burritos,6.279166666666666,4.0625,3.9291666666666667,3.4291666666666667,4.041666666666667,3.9499999999999997,3.8125,3.5541666666666667,4.0874999999999995,4.325,4.145833333333333
Cancun Mexican  Seafood,6.733333333333334,3.716666666666667,4.05,4.5,3.8333333333333335,3.9,3.4166666666666665,3.3000000000000003,3.8000000000000003,3.9166666666666665,4.1000000000000005
El Zarape,6.90625,2.96875,3.5,4.375,3.71875,3.49375,3.7625,3.375,3.55,4.75,3.46666625
Lolitas Taco Shop,7.5375000000000005,3.391666666666667,3.025,3.3166666666666664,3.4166666666666665,3.8083333333333336,2.908333333333333,2.8541666666666665,3.5625,4.0,3.35
Los Primos Mexican Food,6.859999999999999,3.3,3.5,3.75,2.85,3.1,2.75,3.0,2.6,3.4,2.68
Los Tacos,8.05,3.2416666666666667,3.766666666666667,4.25,4.258333333333334,3.858333333333333,3.741666666666667,3.875,4.2250000000000005,4.1499999999999995,4.208333333333333
Lucha Libre North Park,7.84375,3.4666666666666663,3.579166666666667,3.079166666666667,3.6291666666666664,3.3833333333333333,3.1125000000000003,3.9375,3.2708333333333335,4.0625,3.252083333333333
Rigobertos Taco Shop,6.943749999999999,3.59375,3.5,4.25,3.6937499999999996,3.55,3.375,3.421875,3.64375,3.5625,3.778125
Taco Stand,7.6452,3.384,3.84,3.52,4.34,4.04,3.92,3.8480000000000003,4.292,4.14,4.200000000000001
Taco Villa,6.169999999999999,3.4545454545454546,3.0772727272727276,4.036363636363636,3.690909090909091,3.340909090909091,3.4045454545454548,2.8454545454545452,3.159090909090909,3.9272727272727277,3.563636363636364
Tonys Fresh Mexican Food,7.493333333333333,3.5,3.75,3.6666666666666665,3.3333333333333335,3.1666666666666665,3.5833333333333335,2.4166666666666665,3.6666666666666665,3.6666666666666665,3.4
Valentines Mexican Food,7.265625000000001,3.3125,4.03125,4.16875,4.25,4.075,3.7375,3.78125,4.15,3.65625,4.278124999999999
Vallarta Express,7.394999999999999,3.55,2.875,3.8,3.3,3.25,3.13,3.5,3.0100000000000002,3.7,3.46
